,seqnames,start,end,width,strand,idr,summit,rep1_pvalue,rep2_pvalue,rep1_qvalue,rep2_qvalue
peak:21,chr15,81810681,81811997,1317,*,1000,581,91.09634,103.46002,86.64359,6.61759
peak:22,chr10,13965476,13967769,2294,*,1000,1620,99.81362,89.08338,94.87624,44.43732
peak:23,chr7,82865665,82868155,2491,*,1000,613,84.0996,13.69387,79.95772,29.19894
peak:24,chr11,102446771,102447854,1084,*,1000,714,88.83433,95.71651,84.46881,8.39444
peak:25,chr13,111488775,111490764,1990,*,1000,1103,106.24672,88.36656,100.94993,25.47523
peak:26,chr19,53528742,53530148,1407,*,1000,509,81.02436,9.57146,77.01734,7.49283
peak:27,chr12,15815537,15817313,1777,*,1000,1499,96.62765,82.54607,91.86305,46.38628
peak:28,chr13,31557827,31560194,2368,*,1000,2119,95.04253,80.92736,90.35994,4.16935
peak:29,chr10,12868102,12869704,1603,*,1000,1287,137.8212,122.37202,130.10675,7.49283
peak:30,chr16,4418810,4420804,1995,*,1000,1741,114.87603,140.86363,109.06934,21.96294
peak:31,chr15,98634128,98635470,1343,*,1000,723,137.8212,146.27303,130.10675,7.49283
peak:32,chr15,6707511,6709547,2037,*,1000,718,122.2204,29.22021,115.84214,35.97155
peak:33,chr2,137115925,137117748,1824,*,1000,1381,82.91734,69.30255,78.83392,25.47523
peak:34,chr15,96698473,96700623,2151,*,1000,561,119.00989,8.69637,112.93305,102.46765
peak:35,chr10,111009429,111010577,1149,*,1000,744,127.6793,151.71947,120.77316,14.27658
peak:36,chr7,35117884,35120767,2884,*,1000,1635,77.97306,24.17908,74.08454,9.32069
peak:37,chr19,4613108,4616026,2919,*,1000,2434,109.49292,97.38917,103.99274,11.24113
peak:38,chr1,92179618,92181130,1513,*,1000,369,82.17046,86.69246,78.1405,19.68948
peak:39,chr12,73044459,73047062,2604,*,1000,756,87.19814,40.27729,82.91378,4.95367
peak:40,chr4,155491025,155492625,1601,*,1000,462,85.54688,62.03422,81.37778,54.75967
peak:41,chr2,60962025,60963389,1365,*,1000,1183,86.54003,80.92736,82.30895,4.16935
peak:42,chr12,86881814,86885207,3394,*,1000,2781,110.18209,58.98888,104.66099,11.24113
peak:43,chr8,47673523,47675905,2383,*,1000,1715,104.63095,71.35359,99.42876,3.8756
peak:44,chr13,9276338,9277756,1419,*,1000,217,126.00372,146.27303,119.21315,43.83514
peak:45,chr4,149586092,149587875,1784,*,1000,521,111.12325,18.17179,105.52523,14.64755
peak:46,chr10,116580869,116582366,1498,*,1000,513,78.53741,83.79329,74.63892,4.16935
peak:47,chr3,86919569,86921060,1492,*,1000,1025,99.07539,97.38917,94.20552,4.95367
peak:48,chr3,68493493,68495462,1970,*,1000,403,120.14765,31.8858,113.95583,28.21113
peak:49,chr7,127025176,127027546,2371,*,1000,1385,66.02148,61.97102,62.54149,36.6454
peak:50,chr4,155991834,155993625,1792,*,1000,674,78.39854,36.80723,74.50569,23.53003
peak:51,chr6,134034933,134036392,1460,*,1000,956,95.04253,89.08338,90.35994,10.26936
peak:52,chr7,25249117,25250997,1881,*,1000,1012,64.32362,58.98888,60.91262,8.39444
peak:53,chr10,80147731,80151238,3508,*,1000,1061,64.85558,54.48209,61.41336,4.95367
peak:54,chr3,52267636,52270175,2540,*,1000,1870,95.04253,69.78202,90.35994,16.39248
peak:55,chr5,137530572,137532479,1908,*,1000,1226,82.55902,60.50757,78.48618,76.43198
peak:56,chr5,24451350,24453269,1920,*,1000,597,96.62765,45.70541,91.86305,4.16935
peak:57,chr15,27466213,27467313,1101,*,1000,307,146.45927,135.68575,137.03726,6.61759
peak:58,chr2,72978603,72981041,2439,*,1000,618,100.48831,47.23719,95.53578,3.4222
peak:59,chr4,133011228,133014022,2795,*,1000,1141,106.24672,16.4886,100.94993,21.96294
peak:60,chr14,70074546,70076020,1475,*,1000,544,91.88833,24.17908,87.36462,10.26936
peak:61,chr15,84853428,84856464,3037,*,1000,2675,52.54822,100.11576,49.41707,13.24495
peak:62,chr12,111537470,111539204,1735,*,1000,886,101.85216,126.62811,96.81714,5.77031
peak:63,chr17,51178701,51179681,981,*,1000,746,89.56788,90.73288,85.19432,7.49283
peak:64,chr10,80790668,80792849,2182,*,1000,1953,60.20905,42.85563,56.88778,55.49189
peak:65,chr17,28349399,28352004,2606,*,1000,1044,98.21804,11.58349,93.36972,34.08881
peak:66,chr13,107888476,107891474,2999,*,1000,1312,86.7878,76.12576,82.55188,6.61759
peak:67,chr1,135146521,135147753,1233,*,1000,239,124.33246,135.49236,117.67312,8.39444
peak:68,chr8,92356284,92358750,2467,*,1000,2177,93.46273,83.61776,88.86071,9.32069
peak:69,chr3,136669442,136671778,2337,*,1000,1428,82.91734,77.70932,78.83392,78.48618
peak:70,chr5,131537115,131538976,1862,*,1000,1674,99.81362,79.31507,94.87624,3.4222
peak:71,chr9,61372187,61374736,2550,*,1000,1104,59.60617,42.85563,56.31431,15.32549
peak:72,chr11,74521907,74523434,1528,*,1000,695,96.62765,37.28052,91.86305,6.22594
peak:73,chr11,19924408,19925918,1511,*,1000,1125,87.19814,84.17112,82.91378,6.61759
peak:74,chr5,111416453,111421670,5218,*,1000,750,77.97306,10.56447,74.08454,26.67152
peak:75,chr11,59306285,59308483,2199,*,1000,549,91.88833,29.26243,87.36462,4.95367
peak:76,chr15,86058477,86059413,937,*,1000,235,113.30696,153.54301,107.59566,54.09892
peak:77,chr17,10318368,10320376,2009,*,1000,1775,87.19814,79.25758,82.91378,27.87908
peak:78,chr11,95513369,95514997,1629,*,1000,1331,85.646,95.71651,81.4335,7.49283
peak:79,chr7,137313137,137315746,2610,*,1000,979,76.4566,27.97052,72.62501,15.32549
peak:80,chr7,133121540,133123450,1911,*,1000,1008,81.02436,68.21762,77.01734,11.15925
peak:81,chr3,58414455,58417282,2828,*,1000,961,91.09634,66.66051,86.64359,5.77031
peak:82,chr18,9212171,9214384,2214,*,1000,1308,67.49223,25.42839,63.96826,12.21334
peak:83,chr13,114458423,114459768,1346,*,1000,181,79.49567,47.14502,75.54902,13.24495
peak:84,chr15,76343349,76344531,1183,*,1000,301,99.81362,17.02265,94.87624,7.49283
peak:85,chr7,111081969,111083526,1558,*,1000,764,81.02436,68.21762,77.01734,9.32069
peak:86,chr15,59647454,59649652,2199,*,1000,1375,98.25254,79.00641,93.40169,11.24113
peak:87,chr15,58822619,58824150,1532,*,1000,696,112.87309,21.6425,107.17617,55.49189
peak:88,chr13,31806259,31807533,1275,*,1000,850,74.94638,74.51778,71.17066,40.50707
peak:89,chr15,36792379,36794406,2028,*,1000,574,98.02387,65.99227,93.22656,9.32069
peak:90,chr13,98353889,98356183,2295,*,1000,1806,70.45412,9.57146,66.83325,15.32549
peak:91,chr10,42274381,42277275,2895,*,1000,1933,77.33893,98.88027,73.49545,8.39444
peak:92,chr7,25278341,25279832,1492,*,1000,749,64.55768,31.8858,61.12064,19.68948
peak:93,chr11,69695378,69696125,748,*,1000,384,111.12325,19.87961,105.52523,12.98472
peak:94,chr3,51415712,51416975,1264,*,1000,697,77.97306,80.92736,74.08454,25.47523
peak:95,chr3,138741831,138742949,1119,*,1000,377,99.38929,159.03726,94.5102,39.24029
peak:96,chr11,60416729,60418152,1424,*,1000,912,89.63524,112.68695,85.25452,8.39444
peak:97,chr17,24850509,24851014,506,*,1000,149,139.52586,109.25074,131.59521,4.16935
peak:98,chr15,98805301,98807682,2382,*,1000,942,70.45412,10.65269,66.83325,45.88079
peak:99,chr1,75142473,75143294,822,*,1000,418,126.00372,119.61914,119.21315,81.4335
peak:100,chr4,124850036,124851422,1387,*,1000,500,116.04248,129.38528,110.137,10.26936
peak:101,chr15,98762250,98763490,1241,*,1000,828,117.69148,126.62811,111.67281,50.03853
peak:102,chr8,83899439,83901428,1990,*,1000,770,121.00306,123.11424,114.69666,51.33245
peak:103,chr1,86358575,86359917,1343,*,1000,883,63.36323,52.99679,59.96416,17.47617
peak:104,chr14,79480635,79482264,1630,*,1000,786,88.01848,33.21651,83.7235,15.32549
peak:105,chr9,36796804,36797494,691,*,1000,462,124.33246,119.61914,117.67312,12.23227
peak:106,chr13,48260861,48262439,1579,*,1000,150,81.45174,55.97599,77.43271,29.0347
peak:107,chr16,28928816,28930297,1482,*,1000,634,74.94638,72.93222,71.17066,17.13434
peak:108,chr2,155276217,155277305,1089,*,1000,341,123.45901,121.36432,116.91264,74.08454
peak:109,chr19,23140807,23142691,1885,*,1000,873,76.4566,54.48209,72.62501,10.26936
peak:110,chr15,76009042,76010111,1070,*,1000,389,127.6793,116.14323,120.77316,15.32549
peak:111,chr15,10469707,10470836,1130,*,1000,770,104.63095,137.11618,99.42876,24.29132
peak:112,chr10,80797559,80799081,1523,*,1000,565,81.17409,71.15822,77.16319,9.32069
peak:113,chr1,51914971,51916215,1245,*,1000,1019,87.19814,100.20195,82.91378,6.61759
peak:114,chr10,126978392,126980192,1801,*,1000,1228,104.63095,89.80001,99.42876,6.10721
peak:115,chr15,73724514,73725114,601,*,1000,374,117.69148,124.11842,111.67281,5.77031
peak:116,chr15,79441393,79442341,949,*,1000,345,136.12054,123.6694,128.51807,62.54149
peak:117,chr15,38518245,38519789,1545,*,1000,326,128.04494,52.16088,121.12535,6.61759
peak:118,chr1,60409246,60410235,990,*,1000,287,122.66556,117.87876,116.18555,6.61759
peak:119,chr12,53252377,53253752,1376,*,1000,588,84.0996,44.27554,79.95772,37.6132
peak:120,chr18,5591891,5593562,1672,*,1000,160,84.0996,24.17908,79.95772,8.39444
peak:121,chr11,106487140,106487963,824,*,1000,544,116.04248,123.11424,110.137,6.51769
peak:122,chr5,138992559,138996630,4072,*,1000,3142,96.62765,84.17112,91.86305,15.32549
peak:123,chr5,34573369,34574234,866,*,1000,547,98.21804,116.14323,93.36972,73.18198
peak:124,chr15,73183629,73185702,2074,*,1000,1399,124.02229,124.86885,117.46001,17.47617
peak:125,chr1,93685361,93686950,1590,*,1000,311,84.0996,41.44593,79.95772,25.84328
peak:126,chr15,76816942,76818392,1451,*,1000,1103,112.81194,133.7106,107.11641,10.26936
peak:127,chr12,111038255,111040364,2110,*,1000,1251,86.61274,95.1743,82.3807,12.23227
peak:128,chr5,24601379,24602946,1568,*,1000,726,87.19814,60.50757,82.91378,4.58875
peak:129,chr15,99223602,99225179,1578,*,1000,1210,87.19814,62.03422,82.91378,5.77031
peak:130,chr12,80790318,80791312,995,*,1000,366,117.69148,119.61914,111.67281,9.32069
peak:131,chr2,52424189,52425110,922,*,1000,717,124.33246,132.03427,117.67312,14.27658
peak:132,chr17,79354393,79356257,1865,*,1000,628,86.54003,36.03142,82.30895,11.83538
peak:133,chr5,138754331,138756165,1835,*,1000,570,98.21804,20.52446,93.36972,52.9504
peak:134,chr3,122729639,122730851,1213,*,1000,690,109.49292,126.62811,103.99274,12.23227
peak:135,chr12,116280665,116282040,1376,*,1000,707,95.81151,95.71651,91.11253,4.10765
peak:136,chr19,47463602,47464850,1249,*,1000,879,111.12325,124.86885,105.52523,9.32069
peak:137,chr14,18331047,18332085,1039,*,1000,886,122.66556,114.41261,116.18555,37.9388
peak:138,chr15,98870848,98872730,1883,*,1000,644,112.75832,97.38917,107.0662,87.36462
peak:139,chr2,167688282,167690179,1898,*,1000,531,112.75832,123.11424,107.0662,4.95367
peak:140,chr4,21930963,21931944,982,*,1000,477,109.49292,7.11469,103.99274,4.95367
peak:141,chr2,92184512,92185734,1223,*,1000,815,64.55768,74.51778,61.12064,16.39248
peak:142,chr2,49450901,49452729,1829,*,1000,755,87.19814,34.55941,82.91378,16.39248
peak:143,chr4,32238321,32240319,1999,*,1000,1229,97.86644,21.72655,93.07024,5.77031
peak:144,chr13,28951851,28953339,1489,*,1000,988,82.55902,63.56868,78.48618,4.16935
peak:145,chr17,56475627,56476677,1051,*,1000,793,98.21804,73.80037,93.36972,23.12058
peak:146,chr9,85326347,85328118,1772,*,1000,843,99.81362,36.67951,94.87624,15.32549
peak:147,chr8,126592172,126595056,2885,*,1000,773,81.02436,48.59417,77.01734,10.26936
peak:148,chr14,70076725,70079288,2564,*,1000,1182,63.10092,63.56868,59.70399,61.12064
peak:149,chr17,34120855,34122965,2111,*,1000,1869,71.01394,79.55933,67.38997,4.16935
peak:150,chr19,46056496,46057394,899,*,1000,168,78.15216,40.04667,74.26265,63.96826
peak:151,chr10,96616470,96617842,1373,*,1000,1152,82.55902,69.78202,78.48618,4.16935
peak:152,chr11,69836694,69838017,1324,*,1000,1088,77.97306,79.31507,74.08454,17.70673
peak:153,chr11,104441420,104443063,1644,*,1000,867,88.75596,99.06743,84.39793,36.6454
peak:154,chr2,132029029,132030466,1438,*,1000,790,88.75596,14.78276,84.39793,8.58317
peak:155,chr2,125782441,125783025,585,*,1000,189,111.12325,121.36432,105.52523,2.04987
peak:156,chr14,54575570,54577658,2089,*,1000,240,79.78366,68.0668,75.83327,4.95367
peak:157,chr8,83698498,83699471,974,*,1000,648,103.63235,145.63219,98.50921,13.24495
peak:158,chr1,180812983,180814378,1396,*,1000,935,122.66556,110.96631,116.18555,12.23227
peak:159,chr1,182019318,182020744,1427,*,1000,771,104.63095,126.62811,99.42876,9.32069
peak:160,chr19,7493985,7495056,1072,*,1000,837,79.23682,69.60898,75.32714,80.87907
peak:161,chr17,46383306,46384506,1201,*,1000,359,116.04248,116.14323,110.137,19.68948
peak:162,chr2,152293706,152294294,589,*,1000,297,116.04248,116.14323,110.137,11.24113
peak:163,chr9,63757035,63758554,1520,*,1000,1008,96.62765,89.08338,91.86305,47.43613
peak:164,chr15,36938347,36939174,828,*,1000,406,117.69148,114.41261,111.67281,7.49283
peak:165,chr3,129878467,129879052,586,*,1000,205,117.69148,114.41261,111.67281,5.77031
peak:166,chr2,30415158,30416675,1518,*,1000,331,67.68386,68.21762,64.156,45.88079
peak:167,chr2,30472641,30474760,2120,*,1000,1454,88.75596,30.56765,84.39793,78.48618
peak:168,chr5,53588991,53591240,2250,*,1000,216,81.60173,57.4783,77.58147,7.49283
peak:169,chr17,47688446,47689508,1063,*,1000,595,104.63095,112.68695,99.42876,14.69448
peak:170,chr11,78261313,78262346,1034,*,1000,330,120.14765,117.02212,113.95583,75.26638
peak:171,chr11,119040422,119042270,1849,*,1000,950,79.23682,3.51949,75.32714,94.87624
peak:172,chr9,57644722,57645799,1078,*,1000,810,99.81362,107.54031,94.87624,6.61759
peak:173,chr14,105896869,105897999,1131,*,1000,435,74.27581,11.88056,70.54057,3.4222
peak:174,chr9,62342464,62344995,2532,*,1000,1617,77.97306,57.4783,74.08454,77.90417
peak:175,chr11,75164823,75167754,2932,*,1000,1995,51.71566,50.05264,48.59208,43.19989
peak:176,chr2,180119155,180119984,830,*,1000,334,103.86568,126.62811,98.73379,38.45745
peak:177,chr6,83455777,83457313,1537,*,1000,605,116.04248,114.41261,110.137,4.16935
peak:178,chr1,91398224,91399102,879,*,1000,447,106.24672,123.11424,100.94993,4.95367
peak:179,chr10,94035357,94036642,1286,*,1000,1054,100.48831,92.38829,95.53578,13.24495
peak:180,chr5,23432868,23435147,2280,*,1000,1531,64.2143,5.06211,60.80703,15.32549
peak:181,chr11,93885032,93886599,1568,*,1000,342,85.646,35.47919,81.4335,11.24113
peak:182,chr3,152265432,152266111,680,*,1000,257,129.35916,102.44047,122.29887,4.16935
peak:183,chr3,109340402,109341375,974,*,1000,247,129.35916,118.70249,122.29887,30.33007
peak:184,chr10,80264576,80265394,819,*,1000,415,107.07522,133.7106,101.75137,4.95367
peak:185,chr14,62759658,62761081,1424,*,1000,561,91.69971,63.56868,87.23336,8.39444
peak:186,chr8,84183318,84184241,924,*,1000,543,104.63095,123.11424,99.42876,8.22485
peak:187,chr6,48047268,48049097,1830,*,1000,1481,116.04248,112.68695,110.137,11.26237
peak:188,chr4,120267081,120269194,2114,*,1000,1492,33.1246,34.55941,30.33007,38.81796
peak:189,chr11,60104688,60106976,2289,*,1000,1129,96.62765,8.60608,91.86305,6.77195
peak:190,chr10,88378935,88379808,874,*,1000,246,111.41672,127.38695,105.81161,41.87118
peak:191,chr1,13372592,13374369,1778,*,1000,791,117.69148,110.96631,111.67281,58.2932
peak:192,chr5,135077683,135078601,919,*,1000,585,117.69148,110.96631,111.67281,88.20663
peak:193,chr16,85172292,85174046,1755,*,1000,1329,88.75596,82.54607,84.39793,12.23227
peak:194,chr2,179975180,179977286,2107,*,1000,1568,107.0455,144.46573,101.72968,11.24113
peak:195,chr19,5637109,5638143,1035,*,1000,501,109.49292,117.87876,103.99274,18.57489
peak:196,chr17,64331226,64332516,1291,*,1000,310,87.19814,31.64471,82.91378,48.59208
peak:197,chr3,27709937,27711327,1391,*,1000,415,121.80113,125.29134,115.44283,11.26237
peak:198,chr8,86884530,86885455,926,*,1000,686,104.93865,130.16035,99.72887,26.5371
peak:199,chr11,100849888,100851098,1211,*,1000,796,103.02013,123.11424,97.90819,6.61759
peak:200,chr19,59943076,59943916,841,*,1000,460,123.24925,110.20752,116.72541,6.61759
peak:201,chr14,25768231,25769444,1214,*,1000,713,95.04253,130.16035,90.35994,3.4222
peak:202,chr14,57664641,57665472,832,*,1000,477,116.04248,110.96631,110.137,6.61759
peak:203,chr2,153741147,153741906,760,*,1000,324,116.04248,110.96631,110.137,4.16935
peak:204,chr9,31210950,31212677,1728,*,1000,544,76.4566,11.58349,72.62501,27.87908
peak:205,chrX,159626663,159628229,1567,*,1000,790,67.49223,62.03422,63.96826,15.32549
peak:206,chr4,43875214,43876277,1064,*,1000,444,98.21804,5.89558,93.36972,32.91005
peak:207,chr16,30008618,30009332,715,*,1000,358,107.0841,119.61914,101.75463,14.27658
peak:208,chr4,88937912,88938790,879,*,1000,467,110.04531,119.61914,104.5314,10.26936
peak:209,chr15,10713831,10715049,1219,*,1000,661,126.78783,102.44047,119.95798,4.95367
peak:210,chr8,25240315,25241064,750,*,1000,485,99.81362,90.73288,94.87624,26.67152
peak:211,chr5,123344045,123345827,1783,*,1000,245,121.00306,105.83508,114.69666,23.53003
peak:212,chr2,29252065,29253888,1824,*,1000,547,71.94505,37.28052,68.27406,3.4222
peak:213,chr5,15934162,15935403,1242,*,1000,705,112.75832,112.68695,107.0662,4.12958
peak:214,chr4,148804097,148806459,2363,*,1000,560,64.92648,38.65811,61.48364,5.77031
peak:215,chr10,81147905,81149107,1203,*,1000,361,73.4425,30.56765,69.7199,5.77031
peak:216,chr1,17096793,17098186,1394,*,1000,1162,103.02013,121.36432,97.90819,23.12058
peak:217,chr1,82289886,82292066,2181,*,1000,1845,103.02013,94.04953,97.90819,82.91378
peak:218,chr17,64600494,64602224,1731,*,1000,505,93.46273,24.17908,88.86071,17.47617
peak:219,chr8,84200046,84201942,1897,*,1000,761,122.16531,7.11469,115.79057,9.32069
peak:220,chr15,102470781,102471360,580,*,1000,295,123.86561,111.86291,117.30632,6.90797
peak:221,chr10,84533267,84534483,1217,*,1000,823,106.24672,117.87876,100.94993,12.63513
peak:222,chr5,5379734,5380881,1148,*,1000,605,106.24672,117.87876,100.94993,4.16935
peak:223,chr14,30715025,30716865,1841,*,1000,1320,107.8674,116.14323,102.46765,7.49283
peak:224,chr6,53817832,53821178,3347,*,1000,2650,60.20905,44.27554,56.88778,12.21334
peak:225,chrX,12078308,12081545,3238,*,1000,1946,70.45412,74.51778,66.83325,27.87908
peak:226,chr8,121082230,121085424,3195,*,1000,1561,61.65134,26.69236,58.2932,4.95367
peak:227,chr1,167284158,167285406,1249,*,1000,765,121.00306,104.13511,114.69666,31.57105
peak:228,chr11,98741522,98742903,1382,*,1000,362,119.77136,109.25074,113.59855,4.95367
peak:229,chr11,115814505,115815367,863,*,1000,311,111.65488,116.14323,106.0443,3.4222
peak:230,chr19,6979335,6980517,1183,*,1000,697,88.10438,82.77313,83.80108,5.77031
peak:231,chr2,27676018,27678186,2169,*,1000,1561,93.46273,85.80241,88.86071,30.33007
peak:232,chr1,66862757,66863519,763,*,1000,432,114.39808,109.25074,108.60558,4.95367
peak:233,chr18,61399158,61400929,1772,*,1000,1369,109.49292,85.14716,103.99274,4.95367
peak:234,chr17,69382427,69384315,1889,*,1000,1094,114.87603,121.36432,109.06934,10.26936
peak:235,chr8,84705078,84705991,914,*,1000,399,76.4566,51.52024,72.62501,3.4222
peak:236,chr17,35164283,35165015,733,*,1000,467,95.04253,127.6251,90.35994,25.76324
peak:237,chr10,128092347,128093597,1251,*,1000,467,99.81362,44.27554,94.87624,4.58875
peak:238,chr18,73571947,73574053,2107,*,1000,966,85.1265,87.40941,80.9632,6.22506
peak:239,chr9,106685088,106686212,1125,*,1000,739,107.8674,114.41261,102.46765,17.47617
peak:240,chr14,46881975,46883797,1823,*,1000,1111,113.30696,87.43986,107.59566,5.77031
peak:241,chr16,92697168,92699047,1880,*,1000,427,99.81362,29.26243,94.87624,4.16935
peak:242,chr6,52233483,52235241,1759,*,1000,706,76.4566,22.94496,72.62501,5.77031
peak:243,chr15,75997373,75999083,1711,*,1000,1175,71.94505,55.97599,68.27406,53.7947
peak:244,chr17,63498840,63500678,1839,*,1000,1182,132.73155,92.38829,125.47685,16.87602
peak:245,chr1,88701080,88702599,1520,*,1000,1168,112.75832,109.25074,107.0662,21.96294
peak:246,chr11,120823278,120825097,1820,*,1000,1080,114.39808,107.54031,108.60558,6.61759
peak:247,chr12,54984670,54986371,1702,*,1000,1152,104.63095,116.14323,99.42876,5.77031
peak:248,chr6,92091087,92092571,1485,*,1000,730,104.63095,116.14323,99.42876,15.32549
peak:249,chr3,84479292,84480920,1629,*,1000,1114,87.19814,71.35359,82.91378,33.83841
peak:250,chr2,30358647,30359501,855,*,1000,662,107.8674,112.68695,102.46765,26.67152
peak:251,chr13,34343891,34346067,2177,*,1000,1178,98.21804,8.60608,93.36972,8.66098
peak:252,chr3,152395615,152397069,1455,*,1000,516,116.22612,126.95882,110.31625,31.57105
peak:253,chr14,70599241,70600009,769,*,1000,484,109.49292,110.96631,103.99274,4.95367
peak:254,chr19,5474377,5475321,945,*,1000,294,109.49292,110.96631,103.99274,5.77031
peak:255,chr4,11190429,11191879,1451,*,1000,743,109.49292,110.96631,103.99274,2.71365
peak:256,chr1,23255951,23257050,1100,*,1000,403,106.64868,120.63031,101.34028,9.32069
peak:257,chr19,27216751,27218550,1800,*,1000,329,71.94505,41.44593,68.27406,9.32069
peak:258,chr18,6489847,6491309,1463,*,1000,805,91.88833,126.62811,87.36462,4.95367
peak:259,chr8,64947039,64947718,680,*,1000,217,103.02013,116.14323,97.90819,4.95367
peak:260,chr4,117834808,117836701,1894,*,1000,1540,84.38846,105.83508,80.23743,5.77031
peak:261,chr10,34206479,34207644,1166,*,1000,795,94.33135,95.71651,89.70959,6.10721
peak:262,chr15,80173018,80174669,1652,*,1000,990,106.24672,112.68695,100.94993,5.77031
peak:263,chr3,104638155,104639466,1312,*,1000,311,103.30341,7.95952,98.18597,7.49283
peak:264,chr9,21367465,21368533,1069,*,1000,447,71.94505,45.70541,68.27406,5.77031
peak:265,chr19,6921030,6922045,1016,*,1000,598,111.12325,84.17112,105.52523,7.49283
peak:266,chr9,23222323,23223921,1599,*,1000,951,79.49567,76.11019,75.54902,3.4222
peak:267,chr11,65162207,65163044,838,*,1000,642,109.49292,109.25074,103.99274,103.99274
peak:268,chr4,152086395,152087219,825,*,1000,411,109.49292,109.25074,103.99274,4.95367
peak:269,chr4,57567707,57568418,712,*,1000,274,101.41434,116.14323,96.38834,26.67152
peak:270,chr19,41482217,41483812,1596,*,1000,302,106.24672,115.31114,100.94993,5.77031
peak:271,chr18,24205198,24206610,1413,*,1000,500,102.44948,126.62811,97.39503,5.77031
peak:272,chr8,87472042,87473766,1725,*,1000,642,93.46273,20.52446,88.86071,59.70399
peak:273,chr18,75366413,75367961,1549,*,1000,1101,81.45174,89.08338,77.43271,8.39444
peak:274,chr10,17947124,17948411,1288,*,1000,242,114.39808,104.13511,108.60558,8.39444
peak:275,chr12,84408367,84409315,949,*,1000,520,104.63095,112.68695,99.42876,14.27658
peak:276,chr4,136834807,136837010,2204,*,1000,1113,76.4566,34.55941,72.62501,4.16935
peak:277,chr19,47579289,47580209,921,*,1000,304,96.62765,119.61914,91.86305,10.26936
peak:278,chr6,28260885,28262423,1539,*,1000,1189,109.49292,125.29134,103.99274,5.94879
peak:279,chr11,103132138,103133013,876,*,1000,626,105.06875,82.66764,99.85555,5.77031
peak:280,chr4,133967086,133968966,1881,*,1000,295,85.3767,8.60608,81.2095,5.77031
peak:281,chr5,76303643,76305255,1613,*,1000,1031,122.70076,106.8301,116.21726,41.87118
peak:282,chr13,37825105,37827876,2772,*,1000,1577,84.0996,74.49544,79.95772,3.59171
peak:283,chr15,64059866,64060836,971,*,1000,528,109.49292,107.54031,103.99274,6.61759
peak:284,chr9,98986045,98986820,776,*,1000,458,111.12325,105.83508,105.52523,8.39444
peak:285,chr4,93334638,93335845,1208,*,1000,737,101.41434,114.41261,96.38834,4.95367
peak:286,chr14,67932733,67933882,1150,*,1000,883,122.66556,95.71651,116.18555,21.93511
peak:287,chr16,34572385,34574221,1837,*,1000,1453,103.02013,112.68695,97.90819,7.74907
peak:288,chr3,55242343,55243374,1032,*,1000,421,124.33246,94.04953,117.67312,99.42876
peak:289,chr12,8498300,8500028,1729,*,1000,1457,73.65629,82.54607,69.93099,5.77031
peak:290,chr10,127739199,127740143,945,*,1000,276,104.63095,110.96631,99.42876,5.77031
peak:291,chr1,30873059,30874247,1189,*,1000,428,114.39808,118.70249,108.60558,7.74907
peak:292,chr9,14614090,14615112,1023,*,1000,848,85.646,72.93222,81.4335,110.137
peak:293,chr12,105009516,105010232,717,*,1000,449,116.04248,100.75122,110.137,70.477
peak:294,chr15,73512155,73513185,1031,*,1000,527,116.04248,100.75122,110.137,6.61759
