V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
chr7,16309248,16310988,.,1000,.,76.61021,-1,-1,992,5,5,16309329,16310988,19.34027,901,16309248,16310734,57.26994,382
chr15,81810680,81811997,.,1000,.,76.16655,-1,-1,581,5,5,81810680,81811997,18.77505,879,81810719,81811874,57.3915,245
chr10,13965475,13967769,.,1000,.,76.12335,-1,-1,1620,5,5,13965475,13967769,26.81811,1626,13965515,13967532,49.30524,633
chr7,82865664,82868155,.,1000,.,75.68201,-1,-1,613,5,5,82865664,82868155,23.62548,608,82865913,82868139,52.05653,432
chr11,102446770,102447854,.,1000,.,75.43461,-1,-1,714,5,5,102446770,102447854,22.33665,695,102446787,102447848,53.09796,249
chr13,111488774,111490764,.,1000,.,75.24378,-1,-1,1103,5,5,111488810,111490764,28.09517,1667,111488774,111490759,47.14861,438
chr19,53528741,53530148,.,1000,.,75.09026,-1,-1,509,5,5,53528741,53530148,22.98695,511,53528772,53530121,52.10331,124
chr12,15815536,15817313,.,1000,.,74.72629,-1,-1,1499,5,5,15815536,15817313,26.17959,1496,15815543,15817269,48.5467,276
chr13,31557826,31560194,.,1000,.,74.32838,-1,-1,2119,5,5,31557826,31560194,25.86032,2120,31557830,31560177,48.46806,799
chr10,12868101,12869704,.,1000,.,74.07268,-1,-1,1287,5,5,12868101,12869704,34.16117,1288,12868129,12869694,39.91151,351
chr16,4418809,4420804,.,1000,.,73.99703,-1,-1,1741,5,5,4418809,4420804,26.96742,1750,4419162,4420748,47.02961,540
chr15,98634127,98635470,.,1000,.,73.98464,-1,-1,723,5,5,98634127,98635470,34.16117,720,98634613,98635433,39.82347,240
chr15,6707510,6709547,.,1000,.,73.90445,-1,-1,718,5,5,6707510,6709547,29.02369,713,6707569,6709365,44.88076,397
chr2,137115924,137117748,.,1000,.,73.59376,-1,-1,1381,5,5,137115924,137117748,35.93317,638,137116073,137117660,37.66059,210
chr15,96698472,96700623,.,1000,.,73.45855,-1,-1,561,5,5,96698472,96700623,24.89127,563,96698617,96700438,48.56728,255
chr10,111009428,111010577,.,1000,.,73.20687,-1,-1,744,5,5,111009428,111010577,32.24559,753,111009541,111010476,40.96128,622
chr7,35117883,35120767,.,1000,.,73.17076,-1,-1,1635,5,5,35117883,35120767,22.34843,1667,35117950,35120759,50.82233,258
chr19,4613107,4616026,.,1000,.,73.10841,-1,-1,2434,5,5,4613107,4616026,28.73369,2628,4613580,4615961,44.37472,316
chr1,92179617,92181130,.,1000,.,73.00709,-1,-1,369,5,5,92179617,92181130,21.31587,508,92179659,92181124,51.69122,247
chr12,73044458,73047062,.,1000,.,72.82044,-1,-1,756,5,5,73044458,73047062,24.26401,227,73044569,73047044,48.55643,203
chr4,155491024,155492625,.,1000,.,72.77827,-1,-1,462,5,5,155491024,155492625,20.81813,458,155491030,155492564,51.96014,347
chr2,60962024,60963389,.,1000,.,72.23349,-1,-1,1183,5,5,60962024,60963389,22.54897,1187,60962106,60963387,49.68452,147
chr12,86881813,86885207,.,1000,.,72.09911,-1,-1,2781,5,5,86881813,86885207,26.15023,2768,86881847,86885198,45.94888,631
chr8,47673522,47675905,.,1000,.,71.98281,-1,-1,1715,5,5,47673522,47675905,48.84727,856,47673546,47675897,23.13554,1220
chr13,9276337,9277756,.,1000,.,71.74979,-1,-1,217,5,5,9276337,9277756,31.92632,214,9276351,9277587,39.82347,206
chr4,149586091,149587875,.,1000,.,71.53133,-1,-1,521,5,5,149586091,149587875,29.05296,522,149586163,149587691,42.47837,334
chr10,116580868,116582366,.,1000,.,71.31532,-1,-1,513,5,5,116580868,116582366,20.42986,813,116580913,116582177,50.88546,221
chr3,86919568,86921060,.,1000,.,71.19451,-1,-1,1025,5,5,86919568,86921060,26.44051,1026,86919586,86921047,44.754,369
chr3,68493492,68495462,.,1000,.,71.05124,-1,-1,403,5,5,68493492,68495462,30.53249,408,68493508,68495447,40.51875,328
chr7,127025175,127027546,.,1000,.,70.86946,-1,-1,1385,5,5,127025175,127027546,19.79432,1277,127025190,127027469,51.07514,469
chr4,155991833,155993625,.,1000,.,70.86646,-1,-1,674,5,5,155991833,155993625,18.43798,674,155991916,155993503,52.42848,265
chr6,134034932,134036392,.,1000,.,70.85532,-1,-1,956,5,5,134034932,134036392,25.86032,961,134034963,134036158,44.995,191
chr7,25249116,25250997,.,1000,.,70.80383,-1,-1,1012,5,5,25249116,25250983,17.70588,1590,25249184,25250997,53.09795,290
chr10,80147730,80151238,.,1000,.,70.44518,-1,-1,1061,5,5,80147833,80151238,16.13323,952,80147730,80151122,54.31195,634
chr3,52267635,52270175,.,1000,.,70.41009,-1,-1,1870,5,5,52267635,52270175,25.86032,1516,52267705,52270085,44.54977,599
chr5,137530571,137532479,.,1000,.,70.33584,-1,-1,1226,5,5,137530571,137532479,23.30622,1231,137530623,137532036,47.02962,229
chr5,24451349,24453269,.,1000,.,70.17504,-1,-1,597,5,5,24451349,24453269,26.17959,597,24451382,24453257,43.99545,411
chr15,27466212,27467313,.,1000,.,69.9922,-1,-1,307,5,5,27466212,27467313,34.69485,312,27466232,27467251,35.29735,283
chr2,72978602,72981041,.,1000,.,69.98973,-1,-1,618,5,5,72978625,72981041,26.1733,943,72978602,72980998,43.81643,230
chr4,133011227,133014022,.,1000,.,69.97625,-1,-1,1141,5,5,133011227,133014022,28.09517,1137,133011235,133014008,41.88108,306
chr14,70074545,70076020,.,1000,.,69.97579,-1,-1,544,5,5,70074545,70076020,25.2218,538,70074605,70075810,44.75399,153
chr15,84853427,84856464,.,1000,.,69.51361,-1,-1,2675,5,5,84853427,84856464,11.19487,2765,84853439,84856338,58.31874,344
chr12,111537469,111539204,.,1000,.,69.49402,-1,-1,886,5,5,111537469,111539204,23.22294,866,111537495,111539196,46.27108,204
chr17,51178700,51179681,.,1000,.,69.34667,-1,-1,746,5,5,51178713,51179681,24.04292,760,51178700,51179645,45.30375,230
chr10,80790667,80792849,.,1000,.,69.3396,-1,-1,1953,5,5,80790667,80792849,18.51727,1967,80790735,80792741,50.82233,117
chr17,28349398,28352004,.,1000,.,69.29052,-1,-1,1044,5,5,28349398,28352004,26.49885,1233,28349740,28351993,42.79167,155
chr13,107888475,107891474,.,1000,.,69.27366,-1,-1,1312,5,5,107888475,107891462,19.82083,2430,107888487,107891474,49.45283,383
chr1,135146520,135147753,.,1000,.,69.1549,-1,-1,239,5,5,135146520,135147753,31.60706,233,135146527,135147649,37.54784,239
chr8,92356283,92358750,.,1000,.,69.07897,-1,-1,2177,5,5,92356283,92358750,25.54106,2146,92356285,92358734,43.53791,378
chr3,136669441,136671778,.,1000,.,68.95657,-1,-1,1428,5,5,136669453,136671778,21.24706,739,136669441,136671697,47.70951,440
chr5,131537114,131538976,.,1000,.,68.9172,-1,-1,1674,5,5,131537114,131538976,26.81811,1684,131537183,131538959,42.09909,652
chr9,61372186,61374736,.,1000,.,68.30929,-1,-1,1104,5,5,61372186,61374736,15.21133,1097,61372498,61374396,53.09796,386
chr11,74521906,74523434,.,1000,.,68.27868,-1,-1,695,5,5,74521906,74523434,26.17959,678,74522412,74523354,42.09909,177
chr11,19924407,19925918,.,1000,.,68.25946,-1,-1,1125,5,5,19924407,19925918,24.26401,1124,19924454,19925878,43.99545,369
chr5,111416452,111421670,.,1000,.,68.24024,-1,-1,750,5,5,111416452,111421670,22.34843,526,111416487,111421545,45.89181,841
chr11,59306284,59308483,.,1000,.,68.07944,-1,-1,549,5,5,59306284,59308483,25.2218,554,59306579,59308116,42.85764,198
chr15,86058476,86059413,.,1000,.,68.03557,-1,-1,235,5,5,86058477,86059413,26.69502,243,86058476,86059305,41.34055,227
chr17,10318367,10320376,.,1000,.,67.97478,-1,-1,1775,5,5,10318367,10320376,24.26401,1724,10318387,10320339,43.71077,793
chr11,95513368,95514997,.,1000,.,67.9402,-1,-1,1331,5,5,95513368,95514997,23.94474,1382,95513411,95514960,43.99546,456
chr7,137313136,137315746,.,1000,.,67.92097,-1,-1,979,5,5,137313136,137315746,22.02916,964,137313188,137315644,45.89181,306
chr7,133121539,133123450,.,1000,.,67.74095,-1,-1,1008,5,5,133121539,133123450,22.98695,1640,133121650,133123445,44.754,250
chr3,58414454,58417282,.,1000,.,67.70102,-1,-1,961,5,5,58414454,58417282,18.77505,926,58414486,58417176,48.92597,805
chr18,9212170,9214384,.,1000,.,67.52247,-1,-1,1308,5,5,9212170,9214384,20.11358,1285,9212182,9214111,47.40889,144
chr13,114458422,114459768,.,1000,.,67.42168,-1,-1,181,5,5,114458422,114459768,22.66769,178,114458431,114459753,44.75399,155
chr15,76343348,76344531,.,1000,.,67.40011,-1,-1,301,5,5,76343348,76344531,26.81811,301,76343447,76344507,40.582,190
chr7,111081968,111083526,.,1000,.,67.36167,-1,-1,764,5,5,111081968,111083526,22.98695,264,111081985,111083462,44.37472,207
chr15,59647453,59649652,.,1000,.,67.32452,-1,-1,1375,5,5,59647453,59649652,21.66463,929,59647489,59649623,45.65989,715
chr15,58822618,58824150,.,1000,.,67.251,-1,-1,696,5,5,58822618,58824150,22.76206,698,58822655,58824148,44.48894,393
chr13,31806258,31807533,.,1000,.,67.22243,-1,-1,850,5,5,31806258,31807533,21.7099,831,31806287,31807438,45.51253,187
chr15,36792378,36794406,.,1000,.,67.02826,-1,-1,574,5,5,36792378,36794406,21.19065,392,36792424,36794295,45.83761,462
chr13,98353888,98356183,.,1000,.,67.02319,-1,-1,1806,5,5,98353888,98356180,20.75211,1918,98354241,98356183,46.27108,236
chr10,42274380,42277275,.,1000,.,66.82045,-1,-1,1933,5,5,42274380,42277275,15.5082,2516,42274676,42277221,51.31225,776
chr7,25278340,25279832,.,1000,.,66.80911,-1,-1,749,5,5,25278340,25279832,19.47506,773,25278341,25279743,47.33405,142
chr11,69695377,69696125,.,1000,.,66.78473,-1,-1,384,5,5,69695377,69696125,29.05296,381,69695497,69696120,37.73177,194
chr3,51415711,51416975,.,1000,.,66.72316,-1,-1,697,5,5,51415711,51416975,22.34843,592,51415713,51416883,44.37473,266
chr3,138741830,138742949,.,1000,.,66.72181,-1,-1,377,5,5,138741830,138742949,24.24344,366,138741994,138742908,42.47837,224
chr11,60416728,60418152,.,1000,.,66.58293,-1,-1,912,5,5,60416728,60418152,24.5519,919,60416949,60418104,42.03103,193
chr17,24850508,24851014,.,1000,.,66.3392,-1,-1,149,5,5,24850508,24851014,34.48043,146,24850509,24850934,31.85877,152
chr15,98805300,98807682,.,1000,.,66.26084,-1,-1,942,5,5,98805300,98807682,20.75211,305,98805403,98807659,45.50873,187
chr1,75142472,75143294,.,1000,.,66.06072,-1,-1,418,5,5,75142472,75143294,31.92632,451,75142521,75143291,34.1344,337
chr4,124850035,124851422,.,1000,.,65.99433,-1,-1,500,5,5,124850035,124851422,30.01075,500,124850110,124851304,35.98358,425
chr15,98762249,98763490,.,1000,.,65.9815,-1,-1,828,5,5,98762249,98763490,30.33001,843,98762291,98763484,35.65149,771
chr8,83899438,83901428,.,1000,.,65.86147,-1,-1,770,5,5,83899438,83901428,30.96853,765,83899832,83901377,34.89294,382
chr1,86358574,86359917,.,1000,.,65.78223,-1,-1,883,5,5,86358574,86359917,14.58062,1187,86358637,86359899,51.20161,198
chr14,79480634,79482264,.,1000,.,65.75037,-1,-1,786,5,5,79480634,79482264,23.272,686,79480648,79482247,42.47837,506
chr9,36796803,36797494,.,1000,.,65.74146,-1,-1,462,5,5,36796803,36797494,31.60706,464,36796830,36797487,34.1344,434
chr13,48260860,48262439,.,1000,.,65.72866,-1,-1,150,5,5,48260860,48262439,20.97466,155,48260877,48262180,44.754,155
chr16,28928815,28930297,.,1000,.,65.70535,-1,-1,634,5,5,28928815,28930297,21.7099,352,28928891,28930008,43.99545,200
chr2,155276216,155277305,.,1000,.,65.6757,-1,-1,341,5,5,155276216,155277305,31.16203,365,155276261,155277088,34.51367,273
chr19,23140806,23142691,.,1000,.,65.64534,-1,-1,873,5,5,23140806,23142691,22.02916,926,23140833,23142690,43.61618,520
chr15,76009041,76010111,.,1000,.,65.62145,-1,-1,389,5,5,76009041,76010111,32.24559,294,76009189,76010067,33.37586,336
chr15,10469706,10470836,.,1000,.,65.61363,-1,-1,770,5,5,10469706,10470807,27.7759,756,10469923,10470836,37.83773,568
chr10,80797558,80799081,.,1000,.,65.42278,-1,-1,565,5,5,80797558,80799081,18.89893,575,80797704,80799010,46.52385,328
chr1,51914970,51916215,.,1000,.,65.3547,-1,-1,1019,5,5,51914970,51916215,24.26401,1027,51915074,51916155,41.09069,326
chr10,126978391,126980192,.,1000,.,65.35237,-1,-1,1228,5,5,126978391,126980192,27.7759,1230,126978417,126980184,37.57647,459
chr15,73724513,73725114,.,1000,.,65.18911,-1,-1,374,5,5,73724513,73725110,30.33001,390,73724555,73725114,34.8591,317
chr15,79441392,79442341,.,1000,.,65.11083,-1,-1,345,5,5,79441392,79442341,33.8419,340,79441406,79442264,31.26893,336
chr15,38518244,38519789,.,1000,.,65.08714,-1,-1,326,5,5,38518248,38519789,30.34729,307,38518244,38519671,34.73985,278
chr1,60409245,60410235,.,1000,.,65.04293,-1,-1,287,5,5,60409245,60410235,31.2878,286,60409271,60410223,33.75513,262
chr12,53252376,53253752,.,1000,.,64.96603,-1,-1,588,5,5,53252376,53253751,23.62548,813,53252437,53253752,41.34055,221
chr18,5591890,5593562,.,1000,.,64.96603,-1,-1,160,5,5,5591890,5593562,23.62548,161,5591897,5593538,41.34055,130
chr11,106487139,106487963,.,1000,.,64.90369,-1,-1,544,5,5,106487139,106487963,30.01075,537,106487188,106487885,34.89294,503
chr5,138992558,138996630,.,1000,.,64.86525,-1,-1,3142,5,5,138992558,138996630,26.17959,3334,138992783,138996307,38.68566,1079
chr5,34573368,34574234,.,1000,.,64.80523,-1,-1,547,5,5,34573368,34574234,26.49885,557,34573377,34574214,38.30638,155
chr15,73183628,73185702,.,1000,.,64.67151,-1,-1,1399,5,5,73183628,73185702,29.3993,1596,73183951,73185551,35.27221,880
chr1,93685360,93686950,.,1000,.,64.58677,-1,-1,311,5,5,93685360,93686950,23.62548,317,93685441,93686730,40.96129,179
chr15,76816941,76818392,.,1000,.,64.56986,-1,-1,1103,5,5,76816941,76818392,27.40129,1101,76817059,76818384,37.16857,987
chr12,111038254,111040364,.,1000,.,64.52064,-1,-1,1251,5,5,111038254,111040364,22.14636,1243,111038315,111040339,42.37428,254
chr5,24601378,24602946,.,1000,.,64.46675,-1,-1,726,5,5,24601378,24602946,24.26401,750,24601399,24602849,40.20274,198
chr15,99223601,99225179,.,1000,.,64.46675,-1,-1,1210,5,5,99223601,99225179,24.26401,1313,99223620,99225130,40.20274,300
chr12,80790317,80791312,.,1000,.,64.46441,-1,-1,366,5,5,80790352,80791312,30.33001,310,80790317,80791247,34.1344,387
chr2,52424188,52425110,.,1000,.,64.45523,-1,-1,717,5,5,52424188,52425110,31.60706,708,52424192,52425101,32.84817,723
chr17,79354392,79356257,.,1000,.,64.4505,-1,-1,628,5,5,79354392,79356257,22.54897,564,79354420,79355997,41.90153,217
chr5,138754330,138756165,.,1000,.,64.42596,-1,-1,570,5,5,138754330,138756165,26.49885,521,138754351,138756154,37.92711,367
chr3,122729638,122730851,.,1000,.,64.38518,-1,-1,690,5,5,122729638,122730851,28.73369,681,122729641,122730748,35.65149,696
chr12,116280664,116282040,.,1000,.,64.36627,-1,-1,707,5,5,116280664,116282040,22.59529,689,116280677,116281797,41.77098,199
chr19,47463601,47464850,.,1000,.,64.32517,-1,-1,879,5,5,47463601,47464850,29.05296,876,47463991,47464823,35.27221,493
chr14,18331046,18332085,.,1000,.,64.28439,-1,-1,886,5,5,18331046,18332085,31.2878,884,18331088,18332080,32.99659,847
chr15,98870847,98872730,.,1000,.,64.26517,-1,-1,644,5,5,98870847,98872730,29.37222,669,98870959,98872159,34.89295,160
chr2,167688281,167690179,.,1000,.,64.26516,-1,-1,531,5,5,167688281,167690179,29.37222,495,167688338,167690122,34.89294,510
chr4,21930962,21931944,.,1000,.,64.25579,-1,-1,477,5,5,21930962,21931944,28.73369,464,21931034,21931937,35.5221,241
chr2,92184511,92185734,.,1000,.,64.22905,-1,-1,815,5,5,92184511,92185734,19.47506,808,92184794,92185532,44.75399,141
chr2,49450900,49452729,.,1000,.,64.17509,-1,-1,755,5,5,49450900,49452729,24.26401,751,49450910,49452701,39.91108,444
chr4,32238320,32240319,.,1000,.,64.17378,-1,-1,1229,5,5,32238326,32240319,23.97104,1224,32238320,32240317,40.20274,685
chr13,28951850,28953339,.,1000,.,64.12796,-1,-1,988,5,5,28951850,28953339,23.30622,695,28951959,28953264,40.82174,456
chr17,56475626,56476677,.,1000,.,64.12342,-1,-1,793,5,5,56475626,56476677,26.49885,815,56475690,56476597,37.62457,204
chr9,85326346,85328118,.,1000,.,64.04122,-1,-1,843,5,5,85326346,85328118,26.81811,809,85326411,85328104,37.22311,504
chr8,126592171,126595056,.,1000,.,63.94823,-1,-1,773,5,5,126592171,126595056,22.98695,1008,126592414,126594946,40.96128,270
chr14,70076724,70079288,.,1000,.,63.90978,-1,-1,1182,5,5,70076724,70079288,19.15579,338,70076928,70078928,44.75399,432
chr17,34120854,34122965,.,1000,.,63.84564,-1,-1,1869,5,5,34120854,34122965,14.62705,1860,34120868,34122947,49.21859,253
chr19,46056495,46057394,.,1000,.,63.83866,-1,-1,168,5,5,46056495,46057394,19.8432,162,46056529,46057371,43.99546,168
chr10,96616469,96617842,.,1000,.,63.70032,-1,-1,1152,5,5,96616469,96617842,23.30622,1179,96616481,96617801,40.3941,234
chr11,69836693,69838017,.,1000,.,63.68898,-1,-1,1088,5,5,69836693,69838017,22.34843,1091,69836949,69837999,41.34055,262
chr11,104441419,104443063,.,1000,.,63.6482,-1,-1,867,5,5,104441419,104443057,24.58327,719,104441424,104443063,39.06493,418
chr2,132029028,132030466,.,1000,.,63.64819,-1,-1,790,5,5,132029028,132030466,24.58327,783,132029170,132030288,39.06492,142
chr2,125782440,125783025,.,1000,.,63.56663,-1,-1,189,5,5,125782440,125783025,29.05296,188,125782473,125782919,34.51367,157
chr14,54575569,54577658,.,1000,.,63.53339,-1,-1,240,5,5,54575569,54577658,18.66845,239,54575621,54577647,44.86494,666
chr8,83698497,83699471,.,1000,.,63.53303,-1,-1,648,5,5,83698497,83699471,20.57266,661,83698541,83699445,42.96037,209
chr1,180812982,180814378,.,1000,.,63.52584,-1,-1,935,5,5,180812982,180814378,31.2878,923,180813059,180814376,32.23804,870
chr1,182019317,182020744,.,1000,.,63.42739,-1,-1,771,5,5,182019317,182020744,27.7759,774,182019348,182020730,35.65149,737
chr19,7493984,7495056,.,1000,.,63.40582,-1,-1,837,5,5,7494008,7495056,20.76221,763,7493984,7495048,42.64361,134
chr17,46383305,46384506,.,1000,.,63.38661,-1,-1,359,5,5,46383309,46384506,30.01075,400,46383305,46384441,33.37586,314
chr2,152293705,152294294,.,1000,.,63.38661,-1,-1,297,5,5,152293705,152294294,30.01075,320,152293713,152294267,33.37586,266
chr9,63757034,63758554,.,1000,.,63.34816,-1,-1,1008,5,5,63757034,63758554,26.17959,798,63757105,63758529,37.16857,455
chr15,36938346,36939174,.,1000,.,63.3266,-1,-1,406,5,5,36938346,36939174,30.33001,406,36938386,36939105,32.99659,367
chr3,129878466,129879052,.,1000,.,63.3266,-1,-1,205,5,5,129878470,129879052,30.33001,201,129878466,129879028,32.99659,205
chr2,30415157,30416675,.,1000,.,63.30842,-1,-1,331,5,5,30415157,30416675,13.24463,332,30415295,30416624,50.06379,175
chr2,30472640,30474760,.,1000,.,63.26893,-1,-1,1454,5,5,30472640,30474760,24.58327,1421,30472659,30474724,38.68566,814
chr5,53588990,53591240,.,1000,.,63.26872,-1,-1,216,5,5,53588990,53591240,17.37691,222,53588999,53591220,45.89181,601
chr17,47688445,47689508,.,1000,.,63.25306,-1,-1,595,5,5,47688445,47689508,30.63574,138,47688626,47689249,32.61732,406
chr11,78261312,78262346,.,1000,.,63.24457,-1,-1,330,5,5,78261312,78262346,30.53249,317,78261326,78262204,32.71208,329
chr11,119040421,119042270,.,1000,.,63.24058,-1,-1,950,5,5,119040421,119042270,20.76221,945,119040528,119042113,42.47837,227
chr9,57644721,57645799,.,1000,.,63.22813,-1,-1,810,5,5,57644721,57645799,26.81811,860,57644885,57645782,36.41002,217
chr14,105896868,105897999,.,1000,.,63.17487,-1,-1,435,5,5,105896884,105897999,17.74655,648,105896868,105897939,45.42832,144
chr9,62342463,62344995,.,1000,.,63.14175,-1,-1,1617,5,5,62342463,62344995,22.34843,1619,62342491,62344733,40.79332,228
chr11,75164822,75167754,.,1000,.,63.12139,-1,-1,1995,5,5,75164822,75167754,16.60169,2034,75164884,75167437,46.5197,221
chr2,180119154,180119984,.,1000,.,63.0363,-1,-1,334,5,5,180119154,180119984,27.38481,352,180119181,180119965,35.65149,289
chr6,83455776,83457313,.,1000,.,63.00734,-1,-1,605,5,5,83455776,83457313,30.01075,606,83455847,83457276,32.99659,534
chr1,91398223,91399102,.,1000,.,62.98811,-1,-1,447,5,5,91398223,91399102,28.09517,444,91398240,91398974,34.89294,434
chr10,94035356,94036642,.,1000,.,62.9626,-1,-1,1054,5,5,94035356,94036642,26.1733,1065,94035396,94036575,36.7893,297
chr5,23432867,23435147,.,1000,.,62.95104,-1,-1,1531,5,5,23432867,23435147,18.86913,1527,23432881,23434901,44.08191,157
chr11,93885031,93886599,.,1000,.,62.93384,-1,-1,342,5,5,93885031,93886599,23.94474,541,93885033,93886569,38.9891,163
chr3,152265431,152266111,.,1000,.,62.90654,-1,-1,257,5,5,152265435,152266111,32.56485,251,152265431,152266046,30.34169,260
chr3,109340401,109341375,.,1000,.,62.88624,-1,-1,247,5,5,109340401,109341375,32.56485,242,109340473,109341254,30.32139,181
chr10,80264575,80265394,.,1000,.,62.774,-1,-1,415,5,5,80264575,80265394,25.60543,442,80264622,80265329,37.16857,341
chr14,62759657,62761081,.,1000,.,62.67275,-1,-1,561,5,5,62759657,62761081,25.12491,374,62759890,62761071,37.54784,147
chr8,84183317,84184241,.,1000,.,62.66884,-1,-1,543,5,5,84183317,84184241,27.7759,571,84183563,84184210,34.89294,269
chr6,48047267,48049097,.,1000,.,62.62807,-1,-1,1481,5,5,48047267,48049097,30.01075,1482,48047376,48049028,32.61732,1372
chr4,120267080,120269194,.,1000,.,62.60883,-1,-1,1492,5,5,120267080,120269194,28.09516,774,120267094,120269131,34.51367,413
chr11,60104687,60106976,.,1000,.,62.58962,-1,-1,1129,5,5,60104687,60106976,26.17959,1057,60104728,60106850,36.41003,643
chr10,88378934,88379808,.,1000,.,62.58361,-1,-1,246,5,5,88378934,88379808,27.69073,258,88378979,88379760,34.89288,189
chr1,13372591,13374369,.,1000,.,62.56805,-1,-1,791,5,5,13372591,13374369,30.33001,845,13372661,13374341,32.23804,667
chr5,135077682,135078601,.,1000,.,62.56805,-1,-1,585,5,5,135077682,135078601,30.33001,570,135077704,135078598,32.23804,579
chr16,85172291,85174046,.,1000,.,62.51039,-1,-1,1329,5,5,85172291,85174046,24.58327,1339,85172334,85174042,37.92712,368
chr2,179975179,179977286,.,1000,.,62.49167,-1,-1,1568,5,5,179975230,179977281,23.04747,1513,179975179,179977286,39.4442,1573
chr19,5637108,5638143,.,1000,.,62.48882,-1,-1,501,5,5,5637108,5638143,28.73369,507,5637164,5638091,33.75513,439
chr17,64331225,64332516,.,1000,.,62.48193,-1,-1,310,5,5,64331225,64332516,24.26401,315,64331264,64332359,38.21792,181
chr3,27709936,27711327,.,1000,.,62.41044,-1,-1,415,5,5,27709936,27711327,30.84726,433,27709975,27711303,31.56318,358
chr8,86884529,86885455,.,1000,.,62.38417,-1,-1,686,5,5,86884534,86885455,25.97414,678,86884529,86885423,36.41003,689
chr11,100849887,100851098,.,1000,.,62.34958,-1,-1,796,5,5,100849887,100851098,27.45664,796,100850071,100851045,34.89294,612
chr19,59943075,59943916,.,1000,.,62.31383,-1,-1,460,5,5,59943075,59943916,31.05562,475,59943147,59943869,31.25821,373
chr14,25768230,25769444,.,1000,.,62.27035,-1,-1,713,5,5,25768230,25769444,25.86032,714,25768270,25769385,36.41003,672
chr14,57664640,57665472,.,1000,.,62.24879,-1,-1,477,5,5,57664640,57665472,30.01075,485,57664743,57665367,32.23804,366
chr2,153741146,153741906,.,1000,.,62.24879,-1,-1,324,5,5,153741146,153741906,30.01075,329,153741162,153741897,32.23804,303
chr9,31210949,31212677,.,1000,.,62.2319,-1,-1,544,5,5,31210949,31212677,22.02916,710,31211046,31212512,40.20274,148
chrX,159626662,159628229,.,1000,.,62.21267,-1,-1,790,5,5,159626662,159628229,20.11358,1040,159626956,159628020,42.09909,226
chr4,43875213,43876277,.,1000,.,62.15033,-1,-1,444,5,5,43875213,43876277,26.49885,450,43875250,43876265,35.65148,240
chr16,30008617,30009332,.,1000,.,62.14875,-1,-1,358,5,5,30008617,30009332,28.01435,361,30008782,30009318,34.1344,191
chr4,88937911,88938790,.,1000,.,62.13375,-1,-1,467,5,5,88937911,88938790,27.99935,420,88938080,88938721,34.1344,345
