"","seqnames","start","end","width","strand","idr","signalValue","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","ens_transcript",".","distanceToTSS","ens_genes","gene_symbol","name"
"15","chr13",98890165,98891142,978,"*",1000,79.45758,"Promoter",13,98839019,98891040,52022,2,"238799","ENSMUST00000109399","8",0,"ENSMUSG00000009470","Tnpo1","peak:15"
"16","chr6",94282688,94284820,2133,"*",1000,79.14379,"Promoter",6,93675455,94283322,607868,2,"14924","ENSMUST00000055224","14",0,"ENSMUSG00000045095","Magi1","peak:16"
"17","chr8",85036874,85038460,1587,"*",1000,78.97847,"Promoter",8,85036915,85057580,20666,1,"212999","ENSMUST00000093360","11",0,"ENSMUSG00000031691","Tnpo2","peak:17"
"18","chr13",29983638,29985686,2049,"*",1000,78.89827,"Promoter",13,29906575,29984391,77817,2,"13557","ENSMUST00000221536","1",0,"ENSMUSG00000016477","E2f3","peak:18"
"19","chr11",102316306,102319753,3448,"*",1000,78.65824,"Promoter",11,102304560,102319096,14537,2,"21429","ENSMUST00000174302","7",0,"ENSMUSG00000020923","Ubtf","peak:19"
"20","chr7",16309248,16310988,1741,"*",1000,76.61021,"Promoter",7,16309616,16318205,8590,1,"170770","ENSMUST00000002152","12",0,"ENSMUSG00000002083","Bbc3","peak:20"
"21","chr15",81810680,81811997,1318,"*",1000,76.16655,"Promoter",15,81811046,81821256,10211,1,"21685","ENSMUST00000168200","1",0,"ENSMUSG00000022389","Tef","peak:21"
"22","chr10",13965475,13967769,2295,"*",1000,76.12335,"Promoter",10,13966075,14150589,184515,1,"15273","ENSMUST00000187083","6",0,"ENSMUSG00000015501","Hivep2","peak:22"
"23","chr7",82865664,82868155,2492,"*",1000,75.68201,"Promoter",7,82867333,82871515,4183,1,"108797","ENSMUST00000082237","6",0,"ENSMUSG00000057706","Mex3b","peak:23"
"24","chr11",102446770,102447854,1085,"*",1000,75.43461,"Promoter",11,102436981,102447682,10702,2,"217219","ENSMUST00000049057","4",0,"ENSMUSG00000034685","Fam171a2","peak:24"
"25","chr13",111488774,111490764,1991,"*",1000,75.24378,"Promoter",13,111425680,111490111,64432,2,"73274","ENSMUST00000047627","13",0,"ENSMUSG00000032745","Gpbp1","peak:25"
"26","chr19",53528741,53530148,1408,"*",1000,75.09026,"Promoter",19,53529109,53542431,13323,1,"240672","ENSMUST00000038287","6",0,"ENSMUSG00000034765","Dusp5","peak:26"
"27","chr12",15815536,15817313,1778,"*",1000,74.72629,"Promoter",12,15791727,15816785,25059,2,"217410","ENSMUST00000020922","7",0,"ENSMUSG00000020601","Trib2","peak:27"
"28","chr13",31557826,31560194,2369,"*",1000,74.32838,"5' UTR",13,31556134,31560976,4843,1,"15220","ENSMUST00000042118","10",1692,"ENSMUSG00000038415","Foxq1","peak:28"
"29","chr10",12868101,12869704,1604,"*",1000,74.07268,"Promoter",10,12383380,12869365,485986,2,"22288","ENSMUST00000218635","1",0,"ENSMUSG00000019820","Utrn","peak:29"
"30","chr16",4418809,4420804,1996,"*",1000,73.99703,"Promoter",16,4287529,4419808,132280,2,"11515","ENSMUST00000117801","7",0,"ENSMUSG00000005580","Adcy9","peak:30"
"31","chr15",98634127,98635470,1344,"*",1000,73.98464,"Promoter",15,98634767,98644529,9763,1,"12297","ENSMUST00000003442","8",0,"ENSMUSG00000003352","Cacnb3","peak:31"
"32","chr15",6707510,6709547,2038,"*",1000,73.90445,"Promoter",15,6708379,6765417,57039,1,"78757","ENSMUST00000228918","1",0,"ENSMUSG00000050310","Rictor","peak:32"
"33","chr2",137115924,137117748,1825,"*",1000,73.59376,"Promoter",2,137081456,137116644,35189,2,"16449","ENSMUST00000028735","7",0,"ENSMUSG00000027276","Jag1","peak:33"
"34","chr15",96698472,96700623,2152,"*",1000,73.45855,"Promoter",15,96687392,96699730,12339,2,"67760","ENSMUST00000023099","7",0,"ENSMUSG00000022462","Slc38a2","peak:34"
"35","chr10",111009428,111010577,1150,"*",1000,73.20687,"Promoter",10,110941780,111010066,68287,2,"320150","ENSMUST00000041723","14",0,"ENSMUSG00000035798","Zdhhc17","peak:35"
"36","chr7",35117883,35120767,2885,"*",1000,73.17076,"Promoter",7,35119303,35121928,2626,1,"12606","ENSMUST00000042985","10",0,"ENSMUSG00000034957","Cebpa","peak:36"
"37","chr19",4613107,4616026,2920,"*",1000,73.10841,"Promoter",19,4611785,4615667,3883,2,"225875","ENSMUST00000113822","2",0,"ENSMUSG00000045045","Lrfn4","peak:37"
"38","chr1",92179617,92181130,1514,"*",1000,73.00709,"Promoter",1,91928779,92180341,251563,2,"208727","ENSMUST00000097644","8",0,"ENSMUSG00000026313","Hdac4","peak:38"
"39","chr12",73044458,73047062,2605,"*",1000,72.82044,"Promoter",12,73043774,73045291,1518,2,"20471","ENSMUST00000175677","1",0,"ENSMUSG00000051367","Six1","peak:39"
"40","chr4",155491024,155492625,1602,"*",1000,72.77827,"Promoter",4,155491361,155559269,67909,1,"14688","ENSMUST00000165335","7",0,"ENSMUSG00000029064","Gnb1","peak:40"
"41","chr2",60962024,60963389,1366,"*",1000,72.23349,"Promoter",2,60750193,60963192,213000,2,"56878","ENSMUST00000028347","12",0,"ENSMUSG00000026970","Rbms1","peak:41"
"42","chr12",86881813,86885207,3395,"*",1000,72.09911,"Promoter",12,86880701,86884798,4098,2,"238330","ENSMUST00000038422","7",0,"ENSMUSG00000034168","Irf2bpl","peak:42"
"43","chr8",47673522,47675905,2384,"*",1000,71.98281,"Promoter",8,47667178,47673689,6512,2,"69260","ENSMUST00000146625","2",0,"ENSMUSG00000063049","Ing2","peak:43"
"44","chr13",9276337,9277756,1420,"*",1000,71.74979,"Promoter",13,9276528,9668928,392401,1,"208440","ENSMUST00000174552","7",0,"ENSMUSG00000048264","Dip2c","peak:44"
"45","chr4",149586091,149587875,1785,"*",1000,71.53133,"Promoter",4,149586468,149648899,62432,1,"65945","ENSMUST00000105691","7",0,"ENSMUSG00000039953","Clstn1","peak:45"
"46","chr10",116580868,116582366,1499,"*",1000,71.31532,"Promoter",10,116485161,116581511,96351,2,"72068","ENSMUST00000168036","7",0,"ENSMUSG00000020166","Cnot2","peak:46"
"47","chr3",86919568,86921060,1493,"*",1000,71.19451,"Promoter",3,86786151,86920379,134229,2,"70762","ENSMUST00000191752","5",0,"ENSMUSG00000028078","Dclk2","peak:47"
"48","chr3",68493492,68495462,1971,"*",1000,71.05124,"Promoter",3,68494208,68626463,132256,1,"30953","ENSMUST00000182719","7",0,"ENSMUSG00000027777","Schip1","peak:48"
"49","chr7",127025175,127027546,2372,"*",1000,70.86946,"Promoter",7,127022130,127026526,4397,2,"17188","ENSMUST00000205568","1",0,"ENSMUSG00000030678","Maz","peak:49"
"50","chr4",155991833,155993625,1793,"*",1000,70.86646,"Promoter",4,155989466,155992649,3184,2,"117592","ENSMUST00000052185","4",0,"ENSMUSG00000050796","B3galt6","peak:50"
"51","chr6",134034932,134036392,1461,"*",1000,70.85532,"Promoter",6,134035700,134270155,234456,1,"14011","ENSMUST00000081028","12",0,"ENSMUSG00000030199","Etv6","peak:51"
"52","chr7",25249116,25250997,1882,"*",1000,70.80383,"Promoter",7,25242561,25250761,8201,2,"13875","ENSMUST00000045847","14",0,"ENSMUSG00000040857","Erf","peak:52"
"53","chr10",80147730,80151238,3509,"*",1000,70.44518,"Promoter",10,80148272,80158367,10096,1,"59090","ENSMUST00000099492","9",0,"ENSMUSG00000035621","Midn","peak:53"
"54","chr3",52267635,52270175,2541,"*",1000,70.41009,"Promoter",3,52268336,52353221,84886,1,"56458","ENSMUST00000053764","6",0,"ENSMUSG00000044167","Foxo1","peak:54"
"55","chr5",137530571,137532479,1909,"*",1000,70.33584,"Promoter",5,137528157,137531758,3602,2,"14693","ENSMUST00000111027","7",0,"ENSMUSG00000029713","Gnb2","peak:55"
"56","chr5",24451349,24453269,1921,"*",1000,70.17504,"Promoter",5,24452177,24502047,49871,1,"213990","ENSMUST00000024123","8",0,"ENSMUSG00000023353","Agap3","peak:56"
"57","chr15",27466212,27467313,1102,"*",1000,69.9922,"Promoter",15,27466677,27594909,128233,1,"11732","ENSMUST00000022875","6",0,"ENSMUSG00000022265","Ank","peak:57"
"58","chr2",72978602,72981041,2440,"*",1000,69.98973,"Promoter",2,72979424,72988442,9019,1,"100503849","ENSMUST00000135297","7",0,"ENSMUSG00000063714","Sp3os","peak:58"
"59","chr4",133011227,133014022,2796,"*",1000,69.97625,"Promoter",4,133011260,133060820,49561,1,"230793","ENSMUST00000154646","7",0,"ENSMUSG00000037692","Ahdc1","peak:59"
"60","chr14",70074545,70076020,1476,"*",1000,69.97579,"Distal Intergenic",14,70077203,70079955,2753,1,"13655","ENSMUST00000035908","2",-1183,"ENSMUSG00000033730","Egr3","peak:60"
"61","chr15",84853427,84856464,3038,"*",1000,69.51361,"Promoter",15,84785381,84855110,69730,2,"271305","ENSMUST00000016768","11",0,"ENSMUSG00000016624","Phf21b","peak:61"
"62","chr12",111537469,111539204,1736,"*",1000,69.49402,"Promoter",12,111538016,111546752,8737,1,"217869","ENSMUST00000166123","8",0,"ENSMUSG00000021282","Eif5","peak:62"
"63","chr17",51178700,51179681,982,"*",1000,69.34667,"Promoter",17,50733124,51179168,446045,2,"72238","ENSMUST00000024717","9",0,"ENSMUSG00000023923","Tbc1d5","peak:63"
"64","chr10",80790667,80792849,2183,"*",1000,69.3396,"Promoter",10,80791454,80793818,2365,1,"208266","ENSMUST00000138505","1",0,"ENSMUSG00000061589","Dot1l","peak:64"
"65","chr17",28349398,28352004,2607,"*",1000,69.29052,"Promoter",17,28331671,28350346,18676,2,"21678","ENSMUST00000154873","8",0,"ENSMUSG00000002249","Tead3","peak:65"
"66","chr13",107888475,107891474,3000,"*",1000,69.27366,"Promoter",13,107724617,107890064,165448,2,"67263","ENSMUST00000225822","1",0,"ENSMUSG00000032846","Zswim6","peak:66"
"67","chr1",135146520,135147753,1234,"*",1000,69.1549,"Promoter",1,135146824,135156269,9446,1,"68724","ENSMUST00000027684","10",0,"ENSMUSG00000026426","Arl8a","peak:67"
"68","chr8",92356283,92358750,2468,"*",1000,69.07897,"Promoter",8,92357625,92376286,18662,1,"54352","ENSMUST00000210246","1",0,"ENSMUSG00000031737","Irx5","peak:68"
"69","chr3",136669441,136671778,2338,"*",1000,68.95657,"Promoter",3,136670124,136797838,127715,1,"19055","ENSMUST00000124206","1",0,"ENSMUSG00000028161","Ppp3ca","peak:69"
"70","chr5",131537114,131538976,1863,"*",1000,68.9172,"Promoter",5,131439298,131538687,99390,2,"319974","ENSMUST00000161374","7",0,"ENSMUSG00000029673","Auts2","peak:70"
"71","chr9",61372186,61374736,2551,"*",1000,68.30929,"Promoter",9,61372366,61418497,46132,1,"21887","ENSMUST00000178113","7",0,"ENSMUSG00000032280","Tle3","peak:71"
"72","chr11",74521906,74523434,1529,"*",1000,68.27868,"Promoter",11,74436924,74522751,85828,2,"380711","ENSMUST00000208896","1",0,"ENSMUSG00000038807","Rap1gap2","peak:72"
"73","chr11",19924407,19925918,1512,"*",1000,68.25946,"Promoter",11,19924442,20022577,98136,1,"114716","ENSMUST00000093298","11",0,"ENSMUSG00000045671","Spred2","peak:73"
"74","chr5",111416452,111421670,5219,"*",1000,68.24024,"Promoter",5,111417362,111418073,712,1,"433938","ENSMUST00000138784","1",0,"ENSMUSG00000070576","Mn1","peak:74"
"75","chr11",59306284,59308483,2200,"*",1000,68.07944,"Promoter",11,59306928,59333552,26625,1,"216795","ENSMUST00000000128","9",0,"ENSMUSG00000000126","Wnt9a","peak:75"
"76","chr15",86058476,86059413,938,"*",1000,68.03557,"Promoter",15,86058727,86137618,78892,1,"223752","ENSMUST00000138134","7",0,"ENSMUSG00000035900","Gramd4","peak:76"
"77","chr17",10318367,10320376,2010,"*",1000,67.97478,"Promoter",17,10202601,10319380,116780,2,"19317","ENSMUST00000233645","1",0,"ENSMUSG00000062078","Qk","peak:77"
"78","chr11",95513368,95514997,1630,"*",1000,67.9402,"Promoter",11,95509845,95514570,4726,2,"104079","ENSMUST00000058866","7",0,"ENSMUSG00000046719","Nxph3","peak:78"
"79","chr7",137313136,137315746,2611,"*",1000,67.92097,"Promoter",7,137193673,137314445,120773,2,"13593","ENSMUST00000169486","8",0,"ENSMUSG00000010476","Ebf3","peak:79"
"80","chr7",133121539,133123450,1912,"*",1000,67.74095,"Promoter",7,132987584,133123166,135583,2,"13017","ENSMUST00000166439","7",0,"ENSMUSG00000030970","Ctbp2","peak:80"
"81","chr3",58414454,58417282,2829,"*",1000,67.70102,"Promoter",3,58414715,58466783,52069,1,"72033","ENSMUST00000099090","6",0,"ENSMUSG00000027806","Tsc22d2","peak:81"
"82","chr18",9212170,9214384,2215,"*",1000,67.52247,"Promoter",18,9212163,9218136,5974,1,"14370","ENSMUST00000041080","6",7,"ENSMUSG00000036904","Fzd8","peak:82"
"83","chr13",114458422,114459768,1347,"*",1000,67.42168,"Promoter",13,114452290,114458951,6662,2,"14313","ENSMUST00000223640","2",0,"ENSMUSG00000021765","Fst","peak:83"
"84","chr15",76343348,76344531,1184,"*",1000,67.40011,"Promoter",15,76343523,76346260,2738,1,"66445","ENSMUST00000023210","7",0,"ENSMUSG00000022551","Cyc1","peak:84"
"85","chr7",111081968,111083526,1559,"*",1000,67.36167,"Promoter",7,111067750,111083030,15281,2,"13690","ENSMUST00000162415","8",0,"ENSMUSG00000005610","Eif4g2","peak:85"
"86","chr15",59647453,59649652,2200,"*",1000,67.32452,"Promoter",15,59648350,59657099,8750,1,"211770","ENSMUST00000067543","7",0,"ENSMUSG00000032501","Trib1","peak:86"
"87","chr15",58822618,58824150,1533,"*",1000,67.251,"Promoter",15,58782269,58823530,41262,2,"74868","ENSMUST00000072113","5",0,"ENSMUSG00000062373","Tmem65","peak:87"
"88","chr13",31806258,31807533,1276,"*",1000,67.22243,"Promoter",13,31806633,31812476,5844,1,"17300","ENSMUST00000062292","4",0,"ENSMUSG00000050295","Foxc1","peak:88"
"89","chr15",36792378,36794406,2029,"*",1000,67.02826,"Promoter",15,36771704,36793837,22134,2,"22631","ENSMUST00000110362","3",0,"ENSMUSG00000022285","Ywhaz","peak:89"
"90","chr13",98353888,98356183,2296,"*",1000,67.02319,"Promoter",13,98354242,98359305,5064,1,"15229","ENSMUST00000105098","5",0,"ENSMUSG00000078302","Foxd1","peak:90"
"91","chr10",42274380,42277275,2896,"*",1000,66.82045,"Promoter",10,42181841,42276752,94912,2,"56484","ENSMUST00000105502","7",0,"ENSMUSG00000048756","Foxo3","peak:91"
"92","chr7",25278340,25279832,1493,"*",1000,66.80911,"Promoter",7,25278422,25284969,6548,1,"71722","ENSMUST00000169743","1",0,"ENSMUSG00000005442","Cic","peak:92"
"93","chr11",69695377,69696125,749,"*",1000,66.78473,"Promoter",11,69686250,69695849,9600,2,"21944","ENSMUST00000181810","7",0,"ENSMUSG00000097328","Tnfsf12","peak:93"
"94","chr3",51415711,51416975,1265,"*",1000,66.72316,"Promoter",3,51416016,51475985,59970,1,"74838","ENSMUST00000029303","12",0,"ENSMUSG00000063273","Naa15","peak:94"
"95","chr3",138741830,138742949,1120,"*",1000,66.72181,"Promoter",3,138742195,138907905,165711,1,"56224","ENSMUST00000029800","8",0,"ENSMUSG00000028152","Tspan5","peak:95"
"96","chr11",60416728,60418152,1425,"*",1000,66.58293,"Promoter",11,60400626,60417051,16426,2,"246782","ENSMUST00000108721","8",0,"ENSMUSG00000042709","Atpaf2","peak:96"
"97","chr17",24850508,24851014,507,"*",1000,66.3392,"Promoter",17,24850576,24854134,3559,1,"14651","ENSMUST00000154363","7",0,"ENSMUSG00000024158","Hagh","peak:97"
"98","chr15",98805300,98807682,2383,"*",1000,66.26084,"Promoter",15,98803777,98807925,4149,2,"13199","ENSMUST00000075444","7",243,"ENSMUSG00000059213","Ddn","peak:98"
"99","chr1",75142472,75143294,823,"*",1000,66.06072,"Promoter",1,75142778,75147909,5132,1,"227298","ENSMUST00000188873","6",0,"ENSMUSG00000049339","Retreg2","peak:99"
"100","chr4",124850035,124851422,1388,"*",1000,65.99433,"Promoter",4,124850679,124855242,4564,1,"230734","ENSMUST00000102628","10",0,"ENSMUSG00000028889","Yrdc","peak:100"
"101","chr15",98762249,98763490,1242,"*",1000,65.9815,"Promoter",15,98736634,98763211,26578,2,"11842","ENSMUST00000053183","11",0,"ENSMUSG00000051853","Arf3","peak:101"
"102","chr8",83899438,83901428,1991,"*",1000,65.86147,"Promoter",8,83900105,83941954,41850,1,"330814","ENSMUST00000141158","7",0,"ENSMUSG00000013033","Adgrl1","peak:102"
"103","chr1",86358574,86359917,1344,"*",1000,65.78223,"Promoter",1,86344719,86359400,14682,2,"17975","ENSMUST00000027438","7",0,"ENSMUSG00000026234","Ncl","peak:103"
"104","chr14",79480634,79482264,1631,"*",1000,65.75037,"Promoter",14,79481194,79582494,101301,1,"13709","ENSMUST00000040131","12",0,"ENSMUSG00000036461","Elf1","peak:104"
"105","chr9",36796803,36797494,692,"*",1000,65.74146,"Promoter",9,36779159,36797068,17910,2,"13663","ENSMUST00000239021","1",0,"ENSMUSG00000062762","Ei24","peak:105"
"106","chr13",48260860,48262439,1580,"*",1000,65.72866,"Promoter",13,48261228,48266026,4799,1,"15904","ENSMUST00000021810","2",0,"ENSMUSG00000021379","Id4","peak:106"
"107","chr16",28928815,28930297,1483,"*",1000,65.70535,"Promoter",16,28826176,28929673,103498,2,"239796","ENSMUST00000100023","2",0,"ENSMUSG00000051065","Mb21d2","peak:107"
"108","chr2",155276216,155277305,1090,"*",1000,65.6757,"Promoter",2,155276297,155278073,1777,1,"66734","ENSMUST00000029128","3",0,"ENSMUSG00000027602","Map1lc3a","peak:108"
"109","chr19",23140806,23142691,1886,"*",1000,65.64534,"Promoter",19,23141226,23168134,26909,1,"16601","ENSMUST00000036884","2",0,"ENSMUSG00000033863","Klf9","peak:109"
"110","chr15",76009041,76010111,1071,"*",1000,65.62145,"Promoter",15,76001093,76009498,8406,2,"105732","ENSMUST00000170153","1",0,"ENSMUSG00000046761","Fam83h","peak:110"
"111","chr15",10469706,10470836,1131,"*",1000,65.61363,"Promoter",15,10446756,10470516,23761,2,"78244","ENSMUST00000136591","7",0,"ENSMUSG00000044224","Dnajc21","peak:111"
"112","chr10",80797558,80799081,1524,"*",1000,65.42278,"Promoter",10,80798198,80804924,6727,1,"20222","ENSMUST00000148665","7",0,"ENSMUSG00000020211","Sf3a2","peak:112"
"113","chr1",51914970,51916215,1246,"*",1000,65.3547,"Promoter",1,51749765,51916071,166307,2,"17912","ENSMUST00000046390","13",0,"ENSMUSG00000018417","Myo1b","peak:113"
"114","chr10",126978391,126980192,1802,"*",1000,65.35237,"Promoter",10,126978717,126999969,21253,1,"52468","ENSMUST00000105256","9",0,"ENSMUSG00000078429","Ctdsp2","peak:114"
"115","chr15",73724513,73725114,602,"*",1000,65.18911,"Promoter",15,73724798,73757227,32430,1,"19245","ENSMUST00000230177","1",0,"ENSMUSG00000059895","Ptp4a3","peak:115"
"116","chr15",79441392,79442341,950,"*",1000,65.11083,"Promoter",15,79417856,79441999,24144,2,"27373","ENSMUST00000117786","7",0,"ENSMUSG00000022433","Csnk1e","peak:116"
"117","chr15",38518244,38519789,1546,"*",1000,65.08714,"Promoter",15,38487427,38519266,31840,2,"54375","ENSMUST00000065308","12",0,"ENSMUSG00000037458","Azin1","peak:117"
"118","chr1",60409245,60410235,991,"*",1000,65.04293,"Promoter",1,60409619,60481158,71540,1,"329165","ENSMUST00000052332","14",0,"ENSMUSG00000026782","Abi2","peak:118"
"119","chr12",53252376,53253752,1377,"*",1000,64.96603,"Promoter",12,53253025,53501176,248152,1,"27386","ENSMUST00000220986","1",0,"ENSMUSG00000021010","Npas3","peak:119"
"120","chr18",5591890,5593562,1673,"*",1000,64.96603,"Promoter",18,5591891,5766533,174643,1,"21417","ENSMUST00000159390","7",0,"ENSMUSG00000024238","Zeb1","peak:120"
"121","chr11",106487139,106487963,825,"*",1000,64.90369,"Promoter",11,106394650,106487796,93147,2,"78943","ENSMUST00000001059","8",0,"ENSMUSG00000020715","Ern1","peak:121"
"122","chr5",138992558,138996630,4073,"*",1000,64.86525,"Promoter",5,138976014,138995037,19024,2,"18590","ENSMUST00000076095","13",0,"ENSMUSG00000025856","Pdgfa","peak:122"
"123","chr5",34573368,34574234,867,"*",1000,64.80523,"Promoter",5,34574151,34574213,63,1,"102466999","ENSMUST00000184791","1",0,"ENSMUSG00000099082","Mir7036b","peak:123"
"124","chr15",73183628,73185702,2075,"*",1000,64.67151,"Promoter",15,73095844,73184935,89092,2,"239528","ENSMUST00000044113","11",0,"ENSMUSG00000036698","Ago2","peak:124"
"125","chr1",93685360,93686950,1591,"*",1000,64.58677,"Promoter",1,93685660,93695764,10105,1,"51800","ENSMUST00000027499","12",0,"ENSMUSG00000026278","Bok","peak:125"
"126","chr15",76816941,76818392,1452,"*",1000,64.56986,"Promoter",15,76723985,76818083,94099,2,"223666","ENSMUST00000036176","15",0,"ENSMUSG00000033697","Arhgap39","peak:126"
"127","chr12",111038254,111040364,2111,"*",1000,64.52064,"Promoter",12,111039351,111115901,76551,1,"217864","ENSMUST00000084968","13",0,"ENSMUSG00000037896","Rcor1","peak:127"
"128","chr5",24601378,24602946,1569,"*",1000,64.46675,"Promoter",5,24590818,24601976,11159,2,"66993","ENSMUST00000144995","7",0,"ENSMUSG00000028949","Smarcd3","peak:128"
"129","chr15",99223601,99225179,1579,"*",1000,64.46675,"Promoter",15,99224861,99242817,17957,1,"16512","ENSMUST00000041415","4",0,"ENSMUSG00000037579","Kcnh3","peak:129"
"130","chr12",80790317,80791312,996,"*",1000,64.46441,"Promoter",12,80790510,80877873,87364,1,"217684","ENSMUST00000220238","1",0,"ENSMUSG00000021133","Susd6","peak:130"
"131","chr2",52424188,52425110,923,"*",1000,64.45523,"Promoter",2,52397951,52424901,26951,2,"75423","ENSMUST00000036541","7",0,"ENSMUSG00000036093","Arl5a","peak:131"
"132","chr17",79354392,79356257,1866,"*",1000,64.4505,"Promoter",17,79333727,79355091,21365,2,"260409","ENSMUST00000068958","8",0,"ENSMUSG00000036533","Cdc42ep3","peak:132"
"133","chr5",138754330,138756165,1836,"*",1000,64.42596,"Promoter",5,138754514,138810077,55564,1,"80752","ENSMUST00000026972","7",0,"ENSMUSG00000025854","Fam20c","peak:133"
"134","chr3",122729638,122730851,1214,"*",1000,64.38518,"Promoter",3,122730222,122776425,46204,1,"242202","ENSMUST00000198314","1",0,"ENSMUSG00000053965","Pde5a","peak:134"
"135","chr12",116280664,116282040,1377,"*",1000,64.36627,"Promoter",12,116281196,116373091,91896,1,"52635","ENSMUST00000100986","3",0,"ENSMUSG00000021171","Esyt2","peak:135"
"136","chr19",47463601,47464850,1250,"*",1000,64.32517,"Promoter",19,47260174,47464401,204228,2,"14218","ENSMUST00000081619","9",0,"ENSMUSG00000053617","Sh3pxd2a","peak:136"
"137","chr14",18331046,18332085,1040,"*",1000,64.28439,"Promoter",14,18282722,18331859,49138,2,"22194","ENSMUST00000022296","6",0,"ENSMUSG00000021774","Ube2e1","peak:137"
"138","chr15",98870847,98872730,1884,"*",1000,64.26517,"Promoter",15,98831669,98871183,39515,2,"381022","ENSMUST00000178486","8",0,"ENSMUSG00000048154","Kmt2d","peak:138"
"139","chr2",167688281,167690179,1899,"*",1000,64.26516,"Promoter",2,167688915,167690418,1504,1,"12608","ENSMUST00000070642","3",0,"ENSMUSG00000056501","Cebpb","peak:139"
"140","chr4",21930962,21931944,983,"*",1000,64.25579,"Promoter",4,21931329,21994146,62818,1,"76132","ENSMUST00000124440","7",0,"ENSMUSG00000028246","Faxc","peak:140"
"141","chr2",92184511,92185734,1224,"*",1000,64.22905,"Promoter",2,92184792,92228475,43684,1,"192285","ENSMUST00000162188","7",0,"ENSMUSG00000058318","Phf21a","peak:141"
"142","chr2",49450900,49452729,1830,"*",1000,64.17509,"Promoter",2,49451486,49551948,100463,1,"227867","ENSMUST00000092123","10",0,"ENSMUSG00000069495","Epc2","peak:142"
"143","chr4",32238320,32240319,2000,"*",1000,64.17378,"Promoter",4,32238804,32586104,347301,1,"12014","ENSMUST00000108180","8",0,"ENSMUSG00000040270","Bach2","peak:143"
"144","chr13",28951850,28953339,1490,"*",1000,64.12796,"Promoter",13,28948919,28953713,4795,2,"20677","ENSMUST00000067230","5",374,"ENSMUSG00000076431","Sox4","peak:144"
"145","chr17",56475626,56476677,1052,"*",1000,64.12342,"Promoter",17,56412426,56476439,64014,2,"19280","ENSMUST00000223859","1",0,"ENSMUSG00000013236","Ptprs","peak:145"
"146","chr9",85326346,85328118,1773,"*",1000,64.04122,"Promoter",9,85320439,85327124,6686,2,"212943","ENSMUST00000034802","14",0,"ENSMUSG00000032265","Tent5a","peak:146"
"147","chr8",126592171,126595056,2886,"*",1000,63.94823,"Promoter",8,126588296,126593986,5691,2,"270110","ENSMUST00000054960","7",0,"ENSMUSG00000051495","Irf2bp2","peak:147"
